target_col,feature_label,split_type,split_id,model_name,task_type,n,p,n_train,n_test,selected_hyperparameters,hyperparameter_tuning_enabled,hyperparameter_tuning_metric,eval_group,frontier_idx,segment_min,segment_max,segments_included,data_size_n,test_segment,test_spearman,test_pearson,test_r2,test_mae,test_rmse,train_spearman,train_pearson,train_r2,train_mae,train_rmse
sec_%monomer_avg,vh_esm2_seq_embeddings_cdrh_esm2_pll,random,3,ridge,regression,431,1281,345,86,"{""alpha"": 0.015466737040892535, ""max_iter"": 1000}",True,spearman,all_data,,,,,431,,-0.075,-0.0148,-3.3569,6.2879,8.3701,0.6008,0.9602,0.8857,2.2975,3.7266
sec_%monomer_avg,vh_esm2_seq_embeddings_cdrh_esm2_pll,random,4,ridge,regression,431,1281,345,86,"{""alpha"": 0.015466737040892535, ""max_iter"": 1000}",True,spearman,all_data,,,,,431,,0.128,-0.1343,-0.3591,7.3887,15.7828,0.6539,0.9587,0.8811,1.8423,3.0766
sec_%monomer_avg,vh_esm2_seq_embeddings_cdrh_esm2_pll,random,0,mlp_pytorch,regression,431,1281,344,87,"{""batch_size"": 8, ""device"": ""cpu"", ""hidden_size"": 144, ""learning_rate"": 0.0002060924941320236, ""max_epochs"": 400, ""min_delta"": 1e-05, ""n_layers"": 2, ""patience"": 15, ""random_state"": 42, ""validation_split"": 0.2}",True,spearman,all_data,,,,,431,,0.1343,0.0911,-0.054,3.945,7.831,0.2658,0.3043,0.0878,4.405,10.0686
sec_%monomer_avg,vh_esm2_seq_embeddings_cdrh_esm2_pll,random,1,mlp_pytorch,regression,431,1281,345,86,"{""batch_size"": 8, ""device"": ""cpu"", ""hidden_size"": 144, ""learning_rate"": 0.0002060924941320236, ""max_epochs"": 400, ""min_delta"": 1e-05, ""n_layers"": 2, ""patience"": 15, ""random_state"": 42, ""validation_split"": 0.2}",True,spearman,all_data,,,,,431,,-0.0395,-0.095,-1.0226,4.4549,5.1332,0.088,0.1211,-0.0022,5.1556,11.0528
sec_%monomer_avg,vh_esm2_seq_embeddings_cdrh_esm2_pll,random,2,mlp_pytorch,regression,431,1281,345,86,"{""batch_size"": 8, ""device"": ""cpu"", ""hidden_size"": 144, ""learning_rate"": 0.0002060924941320236, ""max_epochs"": 400, ""min_delta"": 1e-05, ""n_layers"": 2, ""patience"": 15, ""random_state"": 42, ""validation_split"": 0.2}",True,spearman,all_data,,,,,431,,0.0686,-0.0874,-0.0341,5.4342,15.3387,0.2433,0.1648,0.006,4.1305,8.2385
sec_%monomer_avg,vh_esm2_seq_embeddings_cdrh_esm2_pll,random,3,mlp_pytorch,regression,431,1281,345,86,"{""batch_size"": 8, ""device"": ""cpu"", ""hidden_size"": 144, ""learning_rate"": 0.0002060924941320236, ""max_epochs"": 400, ""min_delta"": 1e-05, ""n_layers"": 2, ""patience"": 15, ""random_state"": 42, ""validation_split"": 0.2}",True,spearman,all_data,,,,,431,,-0.078,-0.1197,-0.9062,4.3195,5.5364,0.2896,0.3865,0.1403,4.2296,10.2201
sec_%monomer_avg,vh_esm2_seq_embeddings_cdrh_esm2_pll,random,4,mlp_pytorch,regression,431,1281,345,86,"{""batch_size"": 8, ""device"": ""cpu"", ""hidden_size"": 144, ""learning_rate"": 0.0002060924941320236, ""max_epochs"": 400, ""min_delta"": 1e-05, ""n_layers"": 2, ""patience"": 15, ""random_state"": 42, ""validation_split"": 0.2}",True,spearman,all_data,,,,,431,,0.3563,0.2827,0.0226,4.4634,13.384,0.1318,0.1709,0.0103,3.3642,8.8761
sec_%monomer_avg,vh_esm2_seq_embeddings_cdrh_esm2_pll_georgiev_mean_pooled,random,0,ridge,regression,380,1319,304,76,"{""alpha"": 0.0195172246414495, ""max_iter"": 1000}",True,spearman,all_data,,,,,380,,0.0135,-0.0736,-0.3859,8.147,16.3561,0.6528,0.96,0.8991,2.0532,3.0492
sec_%monomer_avg,vh_esm2_seq_embeddings_cdrh_esm2_pll_georgiev_mean_pooled,random,1,ridge,regression,380,1319,304,76,"{""alpha"": 0.0195172246414495, ""max_iter"": 1000}",True,spearman,all_data,,,,,380,,0.0768,-0.0099,-6.1319,7.3016,9.2389,0.5799,0.9629,0.8971,2.4094,3.7536
sec_%monomer_avg,vh_esm2_seq_embeddings_cdrh_esm2_pll_georgiev_mean_pooled,random,2,ridge,regression,380,1319,304,76,"{""alpha"": 0.0195172246414495, ""max_iter"": 1000}",True,spearman,all_data,,,,,380,,-0.0014,-0.0912,-0.4972,8.6652,16.62,0.5691,0.961,0.8932,2.1117,3.1667
